92,1,492,776,5,8,5.0,1,7,92
56,1,812,1096,3,22,0,0,1,92
90,1,893,1177,5,15,3.5,2,7,92
174,2,962,1373,12,15,0,0,4,92
130,2,731,1142,11,22,6.5,2,7,92
172,2,452,863,6,8,0,0,4,92
127,3,1182,194,4,15,9.0,1,11,92
39,3,1358,370,21,22,4.0,2,8,92
113,3,1319,331,3,15,0,0,2,92
5,3,1064,76,14,15,0,0,4,92
132,4,659,859,1,8,0,0,2,92
68,4,1280,40,4,8,3.0,1,3,92
175,4,1021,1221,8,22,0,0,3,92
83,4,894,1094,6,15,3.0,2,3,92
130,4,817,1017,20,22,6.0,2,8,92
38,4,1379,139,12,15,1.5,2,4,92
183,5,1225,20,10,15,4.0,1,7,92
150,5,306,541,10,15,7.0,2,7,92
115,5,1099,1334,7,15,10.0,1,11,92
163,5,888,1123,8,15,3.0,1,3,92
151,5,962,1197,5,8,0,0,3,92
23,5,429,664,3,8,10.0,1,11,92
56,6,661,1183,2,22,4.0,1,5,92
19,6,335,857,7,8,2.0,1,4,92
34,6,836,1358,11,22,5.0,2,7,92
36,6,678,1200,1,15,0,0,1,92
61,6,1104,186,7,8,5.0,1,8,92
146,7,781,1154,2,8,0,0,2,92
152,7,1353,286,9,22,5.0,2,7,92
138,7,829,1202,8,22,9.0,1,11,92
172,7,529,902,2,8,2.0,1,2,92
164,8,520,712,9,15,7.0,1,7,92
55,8,304,496,5,8,4.0,1,7,92
49,8,1002,1194,6,15,0,0,3,92
20,8,364,556,8,8,6.0,2,8,92
171,8,762,954,3,15,7.0,2,6,92
128,8,1051,1243,3,22,0,0,1,92
132,9,1325,274,8,8,10.0,1,12,92
89,9,402,791,10,22,0,0,3,92
16,9,640,1029,6,8,0,0,3,92
122,9,823,1212,14,22,2.5,2,3,92
8,9,1297,246,10,22,4.0,2,7,92
7,9,1284,233,14,15,0,0,4,92
152,10,875,1424,13,22,0,0,3,92
155,10,719,1268,3,8,0,0,3,92
138,10,643,1192,3,22,5.0,2,5,92
43,10,267,816,11,15,1.0,1,3,92
73,10,868,1417,13,15,4.0,1,8,92
182,11,1265,206,14,22,3.5,2,7,92
160,11,649,1030,5,8,6.0,1,8,92
130,11,1082,23,22,22,4.0,2,8,92
156,11,993,1374,11,22,0,0,3,92
119,11,676,1057,5,15,0,0,3,92
24,11,1205,146,16,22,0,0,4,92
156,12,506,1244,5,22,0,0,2,92
169,12,1355,653,20,22,4.5,2,8,92
2,12,278,1016,4,22,5.0,2,6,92
124,12,247,985,9,22,5.5,2,7,92
164,12,613,1351,5,15,0,0,3,92
3,12,885,183,12,22,0,0,3,92
90,13,1097,173,11,15,3.0,1,3,92
30,13,299,815,8,15,4.0,1,7,92
97,13,323,839,3,8,2.0,1,3,92
3,13,439,955,20,22,6.0,2,8,92
127,14,1263,538,14,15,2.5,2,4,92
150,14,258,973,4,15,3.5,2,6,92
70,14,1029,304,8,15,0,0,3,92
62,14,842,117,5,22,0,0,2,92
129,15,1042,141,21,22,0,0,4,92
34,15,622,1161,9,22,8.0,2,11,92
181,15,1277,376,16,22,0,0,4,92
92,15,441,980,4,8,0,0,3,92
92,15,1110,209,6,8,6.5,2,7,92
171,16,735,824,14,15,3.5,2,8,92
31,16,641,730,8,15,6.5,2,7,92
104,16,246,335,6,8,0,0,3,92
173,17,1208,416,16,22,6.0,2,8,92
115,17,500,1148,4,15,0,0,2,92
24,17,950,158,8,22,2.0,1,3,92
43,18,1360,18,6,15,0,0,3,92
121,18,1073,1171,14,22,6.0,2,7,92
123,18,280,378,4,22,4.0,2,6,92
14,18,516,614,3,8,3.5,2,7,92
92,18,529,627,6,8,0,0,3,92
36,19,1099,81,14,15,0,0,4,92
118,19,724,1146,3,8,0,0,3,92
5,19,913,1335,7,15,8.0,1,11,92
123,20,602,713,3,22,2.0,1,2,92
140,20,403,514,21,22,3.0,1,4,92
28,20,608,719,5,8,4.5,2,7,92
163,20,362,473,7,15,0,0,3,92
153,20,1265,1376,2,15,10.0,1,9,92
10,20,1099,1210,5,15,0,0,3,92
166,21,1273,468,11,15,2.0,1,3,92
88,21,321,956,2,8,0,0,2,92
17,21,812,7,8,22,0,0,3,92
16,21,454,1089,7,8,3.5,2,8,92
64,22,837,106,3,8,3.0,2,3,92
172,22,1161,430,6,8,6.5,2,8,92
162,22,702,1411,3,8,9.5,2,11,92
108,22,315,1024,13,15,0,0,4,92
105,23,1104,1339,7,8,4.5,2,8,92
168,23,482,717,3,8,0,0,3,92
