1,2020-01-01,2020,January,1,weekday
2,2020-01-02,2020,January,1,weekday
3,2020-01-03,2020,January,1,weekday
4,2020-01-04,2020,January,1,weekend
5,2020-01-05,2020,January,1,weekend
6,2020-01-06,2020,January,1,weekday
7,2020-01-07,2020,January,1,weekday
8,2020-01-08,2020,January,1,weekday
9,2020-01-09,2020,January,1,weekday
10,2020-01-10,2020,January,1,weekday
11,2020-01-11,2020,January,1,weekend
12,2020-01-12,2020,January,1,weekend
13,2020-01-13,2020,January,1,weekday
14,2020-01-14,2020,January,1,weekday
15,2020-01-15,2020,January,1,weekday
16,2020-01-16,2020,January,1,weekday
17,2020-01-17,2020,January,1,weekday
18,2020-01-18,2020,January,1,weekend
19,2020-01-19,2020,January,1,weekend
20,2020-01-20,2020,January,1,weekday
21,2020-01-21,2020,January,1,weekday
22,2020-01-22,2020,January,1,weekday
23,2020-01-23,2020,January,1,weekday
24,2020-01-24,2020,January,1,weekday
25,2020-01-25,2020,January,1,weekend
26,2020-01-26,2020,January,1,weekend
27,2020-01-27,2020,January,1,weekday
28,2020-01-28,2020,January,1,weekday
29,2020-01-29,2020,January,1,weekday
30,2020-01-30,2020,January,1,weekday
31,2020-01-31,2020,January,1,weekday
32,2020-02-01,2020,February,2,weekend
33,2020-02-02,2020,February,2,weekend
34,2020-02-03,2020,February,2,weekday
35,2020-02-04,2020,February,2,weekday
36,2020-02-05,2020,February,2,weekday
37,2020-02-06,2020,February,2,weekday
38,2020-02-07,2020,February,2,weekday
39,2020-02-08,2020,February,2,weekend
40,2020-02-09,2020,February,2,weekend
41,2020-02-10,2020,February,2,weekday
42,2020-02-11,2020,February,2,weekday
43,2020-02-12,2020,February,2,weekday
44,2020-02-13,2020,February,2,weekday
45,2020-02-14,2020,February,2,weekday
46,2020-02-15,2020,February,2,weekend
47,2020-02-16,2020,February,2,weekend
48,2020-02-17,2020,February,2,weekday
49,2020-02-18,2020,February,2,weekday
50,2020-02-19,2020,February,2,weekday
51,2020-02-20,2020,February,2,weekday
52,2020-02-21,2020,February,2,weekday
53,2020-02-22,2020,February,2,weekend
54,2020-02-23,2020,February,2,weekend
55,2020-02-24,2020,February,2,weekday
56,2020-02-25,2020,February,2,weekday
57,2020-02-26,2020,February,2,weekday
58,2020-02-27,2020,February,2,weekday
59,2020-02-28,2020,February,2,weekday
60,2020-02-29,2020,February,2,weekend
61,2020-03-01,2020,March,3,weekend
62,2020-03-02,2020,March,3,weekday
63,2020-03-03,2020,March,3,weekday
64,2020-03-04,2020,March,3,weekday
65,2020-03-05,2020,March,3,weekday
66,2020-03-06,2020,March,3,weekday
67,2020-03-07,2020,March,3,weekend
68,2020-03-08,2020,March,3,weekend
69,2020-03-09,2020,March,3,weekday
70,2020-03-10,2020,March,3,weekday
71,2020-03-11,2020,March,3,weekday
72,2020-03-12,2020,March,3,weekday
73,2020-03-13,2020,March,3,weekday
74,2020-03-14,2020,March,3,weekend
75,2020-03-15,2020,March,3,weekend
76,2020-03-16,2020,March,3,weekday
77,2020-03-17,2020,March,3,weekday
78,2020-03-18,2020,March,3,weekday
79,2020-03-19,2020,March,3,weekday
80,2020-03-20,2020,March,3,weekday
81,2020-03-21,2020,March,3,weekend
82,2020-03-22,2020,March,3,weekend
83,2020-03-23,2020,March,3,weekday
84,2020-03-24,2020,March,3,weekday
85,2020-03-25,2020,March,3,weekday
86,2020-03-26,2020,March,3,weekday
87,2020-03-27,2020,March,3,weekday
88,2020-03-28,2020,March,3,weekend
89,2020-03-29,2020,March,3,weekend
90,2020-03-30,2020,March,3,weekday
91,2020-03-31,2020,March,3,weekday
92,2020-04-01,2020,April,4,weekday
93,2020-04-02,2020,April,4,weekday
